independent,regression,score,metric,aic
style + bathrooms,Poly Lasso (deg 2),0.2248240019044494,Adj R²,1111.9813791728811
style + Year,Poly OLS (deg 2),0.22460534214556305,Adj R²,1112.0081727629083
Year + property_type,Poly OLS (deg 2),0.2239622225223883,Adj R²,1112.0869339984088
address + neighbourhood + Year,Poly OLS (deg 2),0.22386095446895127,Adj R²,1115.730744334679
neighbourhood + bathrooms,Poly OLS (deg 2),0.22378281751942064,Adj R²,1112.1088936323574
neighbourhood + bathrooms,Poly Lasso (deg 2),0.22376833085727876,Adj R²,1112.1106666156052
neighbourhood + Year,Poly Lasso (deg 2),0.22290835261245012,Adj R²,1112.2158577766938
neighbourhood + bathrooms + Area,Linear,0.22233325897592304,Adj R²,1110.397335370141
style + bathrooms,Poly Ridge (deg 2),0.2217029628233529,Adj R²,1112.3631033546328
bathrooms + Area,Linear,0.2208835127758949,Adj R²,1109.61253362335
address + bedrooms + bathrooms,Linear,0.21973062321715575,Adj R²,1110.714743284709
address + style + bathrooms,Poly OLS (deg 2),0.21969025249884588,Adj R²,1116.239874653992
address + style + bathrooms,Poly Lasso (deg 2),0.21967215944920826,Adj R²,1116.2420773943704
neighbourhood + bathrooms,Poly Ridge (deg 2),0.21953922133617276,Adj R²,1112.6268461519037
bedrooms + bathrooms,Poly OLS (deg 2),0.2194665429163244,Adj R²,1112.6356923727703
bedrooms + bathrooms,Poly Lasso (deg 2),0.2194075820164505,Adj R²,1112.642868329021
bedrooms + Area,Linear,0.21880770881826173,Adj R²,1109.8653060169268
style + bedrooms + bathrooms,Linear,0.21853561291181278,Adj R²,1110.8601278615047
neighbourhood + style + bathrooms,Poly OLS (deg 2),0.21770377121809403,Adj R²,1116.48141452546
neighbourhood + style + bathrooms,Poly Lasso (deg 2),0.21768382980895873,Adj R²,1116.4838361269622
neighbourhood + bedrooms + Area,Linear,0.21741118783110525,Adj R²,1110.9967221936172
style + bedrooms + bathrooms,Poly Ridge (deg 2),0.2174014422767101,Adj R²,1116.5181214658069
address + style + bathrooms,Poly Ridge (deg 2),0.2162793863589766,Adj R²,1116.6542308008231
style + Year,Poly Lasso (deg 2),0.21600481955939677,Adj R²,1113.056092802265
Year + property_type,Poly Lasso (deg 2),0.2154990662827987,Adj R²,1113.1173572995224
bedrooms + Area,Poly OLS (deg 2),0.214585943140442,Adj R²,1113.2278686441834
bedrooms + bathrooms,Poly Ridge (deg 2),0.21457806867375073,Adj R²,1113.2288210979611
bedrooms + Area,Poly Lasso (deg 2),0.21457415505065858,Adj R²,1113.2292944655267
style + Year,Poly Ridge (deg 2),0.2143483367389507,Adj R²,1113.2566040535614
address + style + Year,Poly OLS (deg 2),0.21426496556468166,Adj R²,1116.8980988971036
Year + property_type,Poly Ridge (deg 2),0.2140957968813738,Adj R²,1113.2871359451597
neighbourhood + Year,Poly Ridge (deg 2),0.21372068434168356,Adj R²,1113.3324686833816
address + bathrooms + Area,Linear,0.21350871290227524,Adj R²,1111.4692740828873
style + Area,Poly OLS (deg 2),0.21332238289148275,Adj R²,1113.3805801577514
style + Area,Poly Lasso (deg 2),0.21331102152670278,Adj R²,1113.381952157967
bedrooms + Area,Poly Ridge (deg 2),0.2127018177490243,Adj R²,1113.4554907016266
address + style + Area,Poly OLS (deg 2),0.2126315072452314,Adj R²,1117.0953886411505
address + style + Area,Poly Lasso (deg 2),0.21260573256563475,Adj R²,1117.0984984360018
style + bathrooms + Area,Linear,0.21233394691900676,Adj R²,1111.6110677731122
neighbourhood + style + bathrooms,Poly Ridge (deg 2),0.21206255274449692,Adj R²,1117.164011095427
address + Year + property_type,Poly OLS (deg 2),0.21171707011967622,Adj R²,1117.205656096798
style + Area,Poly Ridge (deg 2),0.21151811865751657,Adj R²,1113.5982154859319
address + bedrooms + Area,Linear,0.21124956483139568,Adj R²,1111.7417645976368
style + bathrooms + property_type,Poly OLS (deg 2),0.21119445425664418,Adj R²,1117.2686183333153
style + bathrooms + property_type,Poly Lasso (deg 2),0.21118104728926224,Adj R²,1117.2702329911792
style + bedrooms + Area,Linear,0.21023736904416068,Adj R²,1111.8635990189418
address + style + Area,Poly Ridge (deg 2),0.20961776424462275,Adj R²,1117.4583178771793
style + bathrooms + property_type,Poly Ridge (deg 2),0.20944732304387714,Adj R²,1117.478801850306
bathrooms,Poly OLS (deg 2),0.20754059041448703,Adj R²,1111.2257017624656
bathrooms,Poly Lasso (deg 2),0.20753410612625178,Adj R²,1111.2264790954805
address + neighbourhood + Year,Poly Lasso (deg 2),0.207324614138655,Adj R²,1117.7335440085149
bathrooms,Poly Ridge (deg 2),0.20690506133416076,Adj R²,1111.3018584277113
bathrooms + Area,Log-Linear,0.2067476025803584,Adj R²,1111.3207175783148
bedrooms + property_type,Linear,0.2045552425592585,Adj R²,1111.5829127154745
bedrooms + bathrooms + property_type,Poly OLS (deg 2),0.20419522676971502,Adj R²,1118.1078542357536
bedrooms + bathrooms + property_type,Poly Lasso (deg 2),0.2041208755167565,Adj R²,1118.1167295772034
bedrooms,Linear,0.20369947028978885,Adj R²,1110.7120997238785
bathrooms + property_type,Linear,0.2036353551993172,Adj R²,1111.6927114247917
address + style + Year,Poly Lasso (deg 2),0.20351827896523123,Adj R²,1118.1886312134295
neighbourhood + bathrooms + prope...,Linear,0.20285524187591875,Adj R²,1112.7474655188155
neighbourhood + style + Year,Poly OLS (deg 2),0.20149571689438817,Adj R²,1118.4295656156391
bedrooms + bathrooms + Area,Log-Linear,0.2013548120234938,Adj R²,1112.92611168504
style + Area + property_type,Poly OLS (deg 2),0.2012665777757574,Adj R²,1118.4568229441463
style + Area + property_type,Poly Lasso (deg 2),0.20125063883009975,Adj R²,1118.4587186764238
neighbourhood + bedrooms + proper...,Linear,0.20060429144677827,Adj R²,1113.0153452712204
address + Year + property_type,Poly Lasso (deg 2),0.20041130754476322,Adj R²,1118.5584929128631
neighbourhood + bedrooms,Linear,0.2003445420921829,Adj R²,1112.0844705106335
neighbourhood + Year + property_type,Poly OLS (deg 2),0.20029907088208576,Adj R²,1118.5718269367048
bathrooms,Linear,0.20019485379422663,Adj R²,1111.1292890205038
neighbourhood + bathrooms,Linear,0.19993371689398598,Adj R²,1112.133264489844
address + style + Year,Poly Ridge (deg 2),0.19926676618876382,Adj R²,1118.6943798810714
